post_id;post_name;version;tags_number;is_featured;score;created_at_day;created_at_daytime;launched_day;is_best_time_to_launch;is_best_day_to_launch;is_weekend;text_description_length;sentence_length_in_the_description;Bullet_points_explicit_features;emoji_in_description;tagline_length;emoji_in_tagline;are_there_video;are_there_tweetable_images;are_there_gif_images;number_of_gif;offers;promo_discount_codes;are_there_questions;hunter_id;hunter_name;hunter_has_twitter;hunter_has_website;hunter_followers;hunter_apps_made;hunter_follows_up_on_comments;maker_id;maker_name;maker_has_twitter;maker_has_website;maker_followers;maker_follows_up_on_comments
129574;London Rent Hacker;1.0;2;Yes;45;25/06/2018;25/06/2018 00:02:00;Monday;Yes;Yes;No;Long;Short;No;No;Long;No;No;No;No;0;No;No;No;1320602;Tom Moon;No;No;Low;Few;Yes;1320602;Tom Moon;No;No;Low;Yes
129584;Netler;1.0;3;Yes;156;26/06/2018;26/06/2018 00:00:00;Tuesday;No;No;No;Medium;Medium;No;No;Long;No;No;No;Yes;1;No;No;No;614326;Andrey Tsarkov;Yes;Yes;Low;Few;Yes;614326;Andrey Tsarkov;Yes;Yes;Low;Yes
129585;Moniesto;1.0;3;Yes;204;25/06/2018;25/06/2018 02:01:55;Monday;Yes;No;No;Short;Medium;No;No;Short;No;Yes;Yes;Yes;1;No;No;No;1262460;Guilherme Rizzo;Yes;No;Low;Few;Yes;1262460;Guilherme Rizzo;Yes;No;Low;Yes
129586;CustomJournal;1.0;3;Yes;40;25/06/2018;26/06/2018 00:00:00;Tuesday;No;No;No;Medium;Short;No;No;Long;No;No;No;No;0;No;No;No;1324889;Jerry Sha;Yes;Yes;Low;Few;Yes;1324889;Jerry Sha;Yes;Yes;Low;Yes
129588;Marketing Pages;1.0;2;Yes;567;25/06/2018;26/06/2018 00:50:17;Tuesday;Yes;Yes;No;Long;Short;No;No;Long;No;No;No;No;0;No;No;Yes;7185;Ramy;Yes;Yes;Low;Satisfactory;Yes;7185;Ramy;Yes;Yes;Low;Yes
129589;Murmure for Gmail;1.0;1;Yes;45;25/06/2018;26/06/2018 04:09:24;Tuesday;Yes;Yes;No;Medium;Medium;No;No;Medium;No;No;No;No;0;No;No;Yes;1096571;Gary Assoun;No;Yes;Low;Few;Yes;1096571;Gary Assoun;No;Yes;Low;Yes
129591;OnTime;2.0;2;No;7;25/06/2018;25/06/2018 01:08:38;Monday;Yes;Yes;No;Short;Short;No;No;Short;No;No;No;No;0;No;No;No;1330093;Lam Kaipun;No;No;Low;Few;No;1330093;Lam Kaipun;No;No;Low;No
129594;Pod Magician;1.0;5;No;2;25/06/2018;25/06/2018 01:36:00;Monday;Yes;Yes;No;Long;Short;No;No;Short;No;No;No;No;0;No;No;No;1330268;Celal Dogan Kaya;Yes;No;Low;Few;No;1330268;Celal Dogan Kaya;Yes;No;Low;No
129596;Feedo;1.0;4;No;7;25/06/2018;25/06/2018 01:50:22;Monday;Yes;Yes;No;Long;Medium;No;No;Long;No;No;No;Yes;2;No;No;Yes;1023486;Shailendra Mahani;No;No;Low;Few;Yes;1331567;Sanket Kumar;No;No;Low;No
129597;Plank Stopwatch Timer;1.0;3;No;3;25/06/2018;25/06/2018 01:51:49;Monday;Yes;Yes;No;Medium;Short;No;No;Medium;No;No;No;No;0;No;No;Yes;705360;Mithil Jadhav;Yes;No;Low;Few;No;705360;Mithil Jadhav;Yes;No;Low;Yes
129598;Flappy Rulers - Politicians Missile Battle;1.0;5;No;5;25/06/2018;25/06/2018 02:34:15;Monday;Yes;Yes;No;Short;Short;No;No;Long;No;No;No;No;0;No;No;No;1043968;Siro Toracchio;No;No;Low;Few;No;1268718;Vsure Studio;Yes;Yes;Low;No
129600;GameLibBooster;1.0;3;No;3;25/06/2018;25/06/2018 03:00:35;Monday;Yes;No;No;Long;Medium;No;No;Medium;No;No;No;Yes;2;No;No;No;1329198;Grégory Journé;Yes;Yes;Low;Few;No;1329198;Grégory Journé;Yes;Yes;Low;Yes
129601;Gumball²;1.0;1;No;3;25/06/2018;25/06/2018 03:20:36;Monday;Yes;Yes;No;Medium;Long;No;No;Short;No;No;No;No;0;No;No;No;1043468;MintyCMS;No;No;Low;Few;No;1043468;MintyCMS;No;No;Low;No
129602;Directive2102.eu;1.0;0;No;1;25/06/2018;25/06/2018 03:32:06;Monday;Yes;Yes;No;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;339880;Marcus Herrmann;Yes;Yes;Low;Few;No;339880;Marcus Herrmann;Yes;Yes;Low;No
129603;Startup CEO Entrepreneur App: India Funding B-plan;1.0;4;No;2;25/06/2018;25/06/2018 03:46:43;Monday;Yes;Yes;No;Long;Medium;No;No;Long;No;No;No;No;0;No;No;No;1308291;Kunaal Satija;No;No;Low;Few;No;1298391;Hardik Jindal;No;No;Low;No
129605;Api2Pdf;1.0;3;No;3;25/06/2018;25/06/2018 04:54:59;Monday;Yes;Yes;No;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;1324597;Zack Schwartz;No;No;Low;Few;No;1324597;Zack Schwartz;No;No;Low;No
129615;Minimus;1.0;5;No;2;25/06/2018;25/06/2018 06:52:41;Monday;Yes;Yes;No;Long;Medium;No;No;Long;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;No;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
129616;PScreen;1.0;4;Yes;47;25/06/2018;26/06/2018 00:00:00;Tuesday;No;No;No;Long;Medium;No;No;Medium;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
129617;IP;1.0;5;No;3;25/06/2018;25/06/2018 07:03:14;Monday;Yes;Yes;No;Long;Medium;No;No;Medium;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
129625;Rise to the Rahz;1.0;1;No;3;25/06/2018;25/06/2018 09:38:21;Monday;No;Yes;No;Short;Short;No;No;Long;No;No;No;No;0;No;No;No;24021;Erik van Mechelen;Yes;Yes;Low;Few;No;24021;Erik van Mechelen;Yes;Yes;Low;No
129628;Pinterest Lite (Ionic 3);3.0;2;No;3;25/06/2018;25/06/2018 09:47:16;Monday;No;Yes;No;Short;Short;No;No;Short;No;No;No;No;0;No;No;No;304139;Hieu Pham;Yes;Yes;Low;Few;No;304139;Hieu Pham;Yes;Yes;Low;No
129629;Sift Games;1.0;2;Yes;28;26/06/2018;26/06/2018 04:00:00;Tuesday;Yes;No;No;Short;Short;No;No;Long;No;No;No;No;0;No;No;Yes;1246229;Peter Hsieh;No;No;Low;Few;Yes;1250656;Danny Fawaz;No;No;Low;Yes
129630;Where the Action Is;1.0;1;No;3;25/06/2018;25/06/2018 10:01:55;Monday;No;No;No;Long;Medium;No;No;Long;No;No;No;No;0;No;No;No;259621;John Keith;Yes;Yes;Low;Few;No;132726;Elise Keith;Yes;Yes;Low;No
129633;The DON Smart Task Completion;2.0;2;No;4;25/06/2018;25/06/2018 10:18:10;Monday;No;Yes;No;Long;Medium;No;No;Short;No;No;No;No;0;No;No;No;1323690;David Oliver Nicholls;Yes;Yes;Low;Few;No;1323690;David Oliver Nicholls;Yes;Yes;Low;No
129636;Wise Theme for WordPress;1.0;2;No;3;25/06/2018;25/06/2018 11:13:48;Monday;No;Yes;No;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;315712;Scott Winterroth;Yes;Yes;Low;Few;No;315712;Scott Winterroth;Yes;Yes;Low;No
129639;ProductPro;2.0;5;Yes;173;26/06/2018;26/06/2018 00:01:00;Tuesday;Yes;No;No;Long;Short;No;No;Short;No;Yes;No;Yes;1;No;No;Yes;1204492;Chris Sentz;Yes;No;Low;Few;Yes;1204492;Chris Sentz;Yes;No;Low;Yes
129640;Foodies - Restaurant Locator;1.0;4;No;3;25/06/2018;25/06/2018 11:49:22;Monday;No;Yes;No;Long;Long;No;No;Short;No;No;No;No;0;No;No;No;278573;Rene F;Yes;Yes;Low;Few;No;278573;Rene F;Yes;Yes;Low;No
129641;French Startups created in France who raised money in the US;1.0;1;No;4;25/06/2018;25/06/2018 11:50:24;Monday;No;Yes;No;Short;Short;No;No;Long;No;No;No;No;0;No;No;No;1307626;Maxence Drummond;No;No;Low;Few;No;1307626;Maxence Drummond;No;No;Low;No
129650;DAppWorld;1.0;6;No;5;25/06/2018;25/06/2018 18:40:17;Monday;No;Yes;No;Long;Medium;No;No;Medium;No;No;No;No;0;No;No;No;1329066;onesonce;No;No;Low;Few;No;1329066;onesonce;No;No;Low;Yes
129651;Pythonic;1.0;3;No;6;25/06/2018;25/06/2018 18:42:12;Monday;No;Yes;No;Long;Medium;No;No;Long;No;Yes;No;No;0;No;No;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;No;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
129652;RSS Reader;1.0;6;No;7;25/06/2018;25/06/2018 19:44:40;Monday;No;Yes;No;Medium;Short;No;No;Medium;No;No;No;No;0;No;No;No;147140;Meet Godhani;Yes;Yes;Low;Few;No;147140;Meet Godhani;Yes;Yes;Low;Yes
129659;The Vue Handbook;1.0;1;No;11;26/06/2018;26/06/2018 00:00:23;Tuesday;Yes;No;No;Short;Short;No;No;Short;No;No;No;Yes;1;No;No;No;68829;Flavio Copes;Yes;Yes;Low;Few;No;68829;Flavio Copes;Yes;Yes;Low;Yes
129660;How Much Can You Make by Airbnb-ing Your Property?;1.0;6;Yes;108;26/06/2018;26/06/2018 02:48:31;Tuesday;Yes;Yes;No;Medium;Medium;No;No;Long;No;No;No;Yes;3;No;No;No;1217356;Saksham Sharda;Yes;Yes;Low;Satisfactory;Yes;1217356;Saksham Sharda;Yes;Yes;Low;Yes
129662;Smartmockups 3.0;3.0 ;9;No;13;26/06/2018;26/06/2018 00:08:02;Tuesday;Yes;Yes;No;Long;Short;No;No;Medium;No;No;No;Yes;4;Yes;No;No;421317;Lukáš Zajíc;Yes;Yes;Low;Few;Yes;50049;Ondrej Nekvinda;Yes;Yes;Low;Yes
129663;Promoe 2.0;2.0 ;2;No;3;26/06/2018;26/06/2018 00:08:52;Tuesday;Yes;Yes;No;Short;Medium;No;No;Short;No;No;No;No;0;No;No;No;198991;Ryan Heybourn;Yes;Yes;Low;Satisfactory;Yes;854082;Julian Silva;Yes;No;Low;Yes
129664;Maily McMailFace;1.0;5;Yes;292;26/06/2018;26/06/2018 00:49:34;Tuesday;Yes;Yes;No;Short;Short;No;No;Medium;No;No;No;Yes;1;No;No;Yes;368871;Sohel Sanghani;Yes;Yes;Low;Few;Yes;445181;Dev Sanghani;No;No;Low;No
129667;HOFFMAN Watches;1.0;1;No;5;26/06/2018;26/06/2018 00:37:11;Tuesday;Yes;Yes;No;Long;Medium;No;No;Short;No;No;No;No;0;No;No;No;48264;Gamal Helmy;Yes;Yes;Low;Few;No;651057;Will Hoffman;No;Yes;Low;No
129668;ProductVoice;1.0;3;No;4;26/06/2018;26/06/2018 00:54:00;Tuesday;Yes;Yes;No;Medium;Short;No;No;Long;No;No;No;No;0;No;No;No;471;Axel Le Pennec;Yes;Yes;Low;Few;No;1268;Åke Brattberg 🇸🇪🔔;Yes;Yes;Low;No
129670;arrayOfConfs;1.0;4;No;6;26/06/2018;26/06/2018 01:11:34;Tuesday;Yes;Yes;No;Long;Short;No;No;Long;No;Yes;No;Yes;1;No;No;No;1142883;Chris Tate;Yes;Yes;Low;Few;Yes;1142239;Crystal Tate;Yes;Yes;Low;No
129672;IGTV Video Downloader;1.0;2;Yes;53;26/06/2018;26/06/2018 06:52:09;Tuesday;Yes;Yes;No;Short;Short;No;No;Short;No;No;No;No;0;No;No;No;641390;Hemant Mendiratta;Yes;Yes;Low;Satisfactory;Yes;1116726;Akshay Thapliyal;Yes;Yes;Low;No
129675;ReviewMASHUP;1.0;1;No;3;26/06/2018;26/06/2018 02:00:39;Tuesday;Yes;No;No;Medium;Medium;No;No;Medium;No;Yes;No;No;0;No;No;No;1187537;Manish Singh;No;No;Low;Few;No;1187537;Manish Singh;No;No;Low;Yes
129677;rest-hapi;1.0;5;No;9;26/06/2018;26/06/2018 02:32:35;Tuesday;Yes;Yes;No;Medium;Short;No;No;Long;No;No;No;Yes;3;No;No;No;1320261;Justin Headley;No;No;Low;Few;Yes;809006;Justin Headley;Yes;Yes;Low;No
129679;Football Times;1.0;4;No;4;26/06/2018;26/06/2018 02:56:17;Tuesday;Yes;Yes;No;Long;Medium;No;No;Medium;No;No;No;No;0;No;No;No;507274;Shrey Jairath;No;No;Low;Few;No;507274;Shrey Jairath;No;No;Low;No
