post_id;is_featured;score;created_at_day;created_at_daytime;hunter_id;hunter_followers;hunter_has_twitter;hunter_has_website;maker_id;maker_followers;maker_has_twitter;maker_has_website
112580;True;442;2018-09-10;2017-11-03 03:02:00;2;52679;True;False;1069083;196;True;True
112580;True;442;2018-09-10;2017-11-03 03:02:00;2;52679;True;False;1069083;196;True;True
131680;True;271;2018-07-27;2018-07-27 01:00:00;2;52679;True;False;548;3644;True;True
131680;True;271;2018-07-27;2018-07-27 01:00:00;2;52679;True;False;548;3644;True;True
140887;True;358;2018-12-08;2018-12-08 04:00:00;2;52679;True;False;583176;898;True;True
140887;True;358;2018-12-08;2018-12-08 04:00:00;2;52679;True;False;583176;898;True;True
132489;True;265;2018-08-07;2018-08-07 04:36:04;20;4794;True;True;2441;379;True;True
132489;True;265;2018-08-07;2018-08-07 04:36:04;20;4794;True;True;2441;379;True;True
130934;True;403;2018-07-17;2018-07-17 00:30:00;23;39196;True;True;1231875;65;True;True
130934;True;403;2018-07-17;2018-07-17 00:30:00;23;39196;True;True;1231875;65;True;True
131976;True;458;2018-07-31;2018-07-31 00:55:00;23;39196;True;True;416772;475;True;False
131976;True;458;2018-07-31;2018-07-31 00:55:00;23;39196;True;True;416772;475;True;False
145147;True;1330;2019-02-18;2019-02-18 00:02:00;23;39196;True;True;1556901;4;False;False
145147;True;1330;2019-02-18;2019-02-18 00:02:00;23;39196;True;True;1556901;4;False;False
131563;True;54;2018-07-24;2018-07-24 07:01:04;58;8019;True;True;536925;68;False;True
131563;True;54;2018-07-24;2018-07-24 07:01:04;58;8019;True;True;536925;68;False;True
131825;True;1357;2018-08-01;2018-08-01 00:37:00;58;8019;True;True;1774;387;True;True
131825;True;1357;2018-08-01;2018-08-01 00:37:00;58;8019;True;True;1774;387;True;True
143739;True;240;2019-01-28;2019-01-28 07:36:33;60;692;True;True;61816;1620;True;True
143739;True;240;2019-01-28;2019-01-28 07:36:33;60;692;True;True;61816;1620;True;True
129846;True;54;2018-06-28;2018-06-28 03:47:44;79;6768;True;True;1285323;10;True;False
129846;True;54;2018-06-28;2018-06-28 03:47:44;79;6768;True;True;1285323;10;True;False
130134;True;171;2018-07-03;2018-07-03 03:07:34;79;6768;True;True;639287;26;True;True
130134;True;171;2018-07-03;2018-07-03 03:07:34;79;6768;True;True;639287;26;True;True
130453;True;297;2018-07-09;2018-07-09 00:06:01;79;6768;True;True;639224;71;True;True
130453;True;297;2018-07-09;2018-07-09 00:06:01;79;6768;True;True;639224;71;True;True
131327;True;70;2018-07-20;2018-07-20 02:57:16;79;6768;True;True;11983;119;True;True
131327;True;70;2018-07-20;2018-07-20 02:57:16;79;6768;True;True;11983;119;True;True
131727;True;986;2018-07-26;2018-07-26 05:38:48;79;6768;True;True;1363848;1;True;True
131727;True;986;2018-07-26;2018-07-26 05:38:48;79;6768;True;True;1363848;1;True;True
132112;True;103;2018-08-01;2018-08-01 01:34:48;79;6768;True;True;259588;51;True;True
132112;True;103;2018-08-01;2018-08-01 01:34:48;79;6768;True;True;259588;51;True;True
132556;True;457;2018-08-08;2018-08-08 00:45:06;79;6768;True;True;152313;165;True;True
132556;True;457;2018-08-08;2018-08-08 00:45:06;79;6768;True;True;152313;165;True;True
132633;True;67;2018-08-09;2018-08-09 01:30:34;79;6768;True;True;161254;282;True;True
132633;True;67;2018-08-09;2018-08-09 01:30:34;79;6768;True;True;161254;282;True;True
133106;True;444;2018-08-17;2018-08-17 01:54:05;79;6768;True;True;968291;2;True;False
