post_id;post_name;version;tags_number;is_featured;score;created_at_day;created_at_daytime;launched_day;is_best_time_to_launch;is_best_day_to_launch;is_weekend;positive_description_sentiment;negative_description_sentiment;discretized_positive_description_score;discretized_negative_description_score;discretized_neutral_description_score;text_description_length;sentence_length_in_the_description;bullet_points_explicit_features;emoji_in_description;tagline_length;emoji_in_tagline;are_there_video;are_there_tweetable_images;are_there_gif_images;number_of_gif;offers;promo_discount_codes;are_there_questions;hunter_id;hunter_name;hunter_has_twitter;hunter_has_website;hunter_followers;hunter_apps_made;hunter_follows_up_on_comments;hunter_is_maker;maker_id;maker_name;maker_has_twitter;maker_has_website;maker_followers;maker_follows_up_on_comments;maker_positive_comment;maker_negative_comment;discretized_maker_positive_comment_score;discretized_maker_negative_comment_score;discretized_maker_neutral_comment_score;others_positive_comment;others_negative_comment;discretized_others_positive_comment_score;discretized_others_negative_comment_score;discretized_others_neutral_comment_score;topic
129387;MakeHub;1.0;1;Yes;658;27/06/2018;27/06/2018 00:00:00;Wednesday;No;No;No;3;-1;True;False;False;Long;Short;No;Yes;Long;No;No;No;No;0;No;No;Yes;1101368;Rauno Metsa;Yes;Yes;Low;Medium;No;Yes;1101368;Rauno Metsa;Yes;Yes;Low;Yes;4;-1;True;False;False;1;-1;False;False;True;web development
129458;UI Goodies;1.0;4;Yes;585;26/06/2018;26/06/2018 06:23:18;Tuesday;Yes;Yes;No;1;-1;False;False;True;Short;Short;No;No;Short;No;No;No;No;0;No;No;No;488647;Espen;Yes;Yes;Low;Low;No;No;11217;Jess Eddy;Yes;Yes;Low;Yes;3;-1;True;False;False;5;-1;True;False;False;creativity
129472;Stumpy;1.0;2;Yes;25;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;2;-1;True;False;False;Long;Short;No;Yes;Medium;No;No;No;No;0;No;No;No;172264;Komal Waseem;Yes;No;Low;Low;No;Yes;172264;Komal Waseem;Yes;No;Low;Yes;1;-1;False;False;True;1;-1;False;False;True;web development
129477;Smart Slack Reminders;1.0;4;Yes;839;25/06/2018;25/06/2018 00:00:00;Monday;No;No;No;2;-1;True;False;False;Medium;Short;No;No;Long;Yes;No;No;Yes;2;No;No;No;549412;Alex Kistenev;Yes;Yes;Low;Medium;No;Yes;549412;Alex Kistenev;Yes;Yes;Low;Yes;2;-1;True;False;False;1;-1;False;False;True;web development
129484;ContactInBio;1.0;5;Yes;534;25/06/2018;25/06/2018 00:00:00;Monday;No;No;No;1;-2;False;True;False;Long;Short;No;No;Long;Yes;No;No;No;0;No;No;No;1315309;Richard Todd;No;Yes;Low;Low;No;Yes;1315309;Richard Todd;No;Yes;Low;Yes;3;-2;True;True;False;1;-1;False;False;True;community
129496;fsociety;1.0;4;Yes;48;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;2;-1;True;False;False;Long;Medium;No;No;Long;No;Yes;No;No;0;No;No;Yes;1290655;Timotej Rybár;No;Yes;Low;Low;Yes;No;1329735;dtokos;Yes;No;Low;No;1;-1;False;False;True;3;-3;True;True;False;web development
129502;QromaTag for macOS;1.0;3;Yes;39;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;3;-1;True;False;False;Long;Medium;No;No;Medium;No;Yes;No;No;0;No;No;Yes;1324781;Tony Knight;No;No;Low;Low;No;Yes;1324781;Tony Knight;No;No;Low;Yes;3;-1;True;False;False;1;-1;False;False;True;creativity
129511;VR Book Reader;1.0;8;Yes;55;25/06/2018;25/06/2018 00:00:00;Monday;No;No;No;3;-1;True;False;False;Long;Short;No;No;Medium;No;Yes;No;No;0;No;No;No;909245;Johnnie Walker;No;Yes;Low;Low;No;Yes;909245;Johnnie Walker;No;Yes;Low;Yes;3;-3;True;True;False;1;-1;False;False;True;creativity
129512;Botkeeper;1.0;4;Yes;59;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;2;-2;True;True;False;Long;Medium;No;No;Long;No;No;No;No;0;No;No;No;1309973;Jessica King;No;No;Low;Low;No;Yes;1309973;Jessica King;No;No;Low;Yes;1;-1;False;False;True;1;-1;False;False;True;community
129516;That Gunk On Your Car;1.0;1;Yes;37;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;3;-2;True;True;False;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;1321270;Bryce Hostetler;No;No;Low;Low;No;Yes;1321270;Bryce Hostetler;No;No;Low;Yes;1;-1;False;False;True;1;-1;False;False;True;web development
